Skipped videos:  0
1780
Skipped videos:  0
258
Epoch 073 - Val   Loss: 4.5693 | Acc: 1.55% | F1: 0.0005
Epoch 074 - Train Loss: 4.5839 | Acc: 2.02% | F1: 0.0008
Epoch 074 - Val   Loss: 4.5720 | Acc: 1.55% | F1: 0.0005
Epoch 075 - Train Loss: 4.5845 | Acc: 2.02% | F1: 0.0008
Epoch 075 - Val   Loss: 4.5717 | Acc: 1.55% | F1: 0.0005
Epoch 076 - Train Loss: 4.5833 | Acc: 2.02% | F1: 0.0008
Epoch 076 - Val   Loss: 4.5709 | Acc: 1.55% | F1: 0.0005
Epoch 077 - Train Loss: 4.5840 | Acc: 2.02% | F1: 0.0008
Epoch 077 - Val   Loss: 4.5719 | Acc: 1.55% | F1: 0.0005
Epoch 078 - Train Loss: 4.5814 | Acc: 2.02% | F1: 0.0008
Epoch 078 - Val   Loss: 4.5692 | Acc: 1.55% | F1: 0.0005
Epoch 079 - Train Loss: 4.5821 | Acc: 2.02% | F1: 0.0008
Epoch 079 - Val   Loss: 4.5705 | Acc: 1.55% | F1: 0.0005
Epoch 080 - Train Loss: 4.5829 | Acc: 2.02% | F1: 0.0008
Epoch 080 - Val   Loss: 4.5708 | Acc: 1.55% | F1: 0.0005
Epoch 081 - Train Loss: 4.5805 | Acc: 2.02% | F1: 0.0008
Epoch 081 - Val   Loss: 4.5738 | Acc: 1.55% | F1: 0.0005
Epoch 082 - Train Loss: 4.5772 | Acc: 2.02% | F1: 0.0008
Epoch 082 - Val   Loss: 4.5710 | Acc: 1.55% | F1: 0.0005
Epoch 083 - Train Loss: 4.5828 | Acc: 2.02% | F1: 0.0008
Epoch 083 - Val   Loss: 4.5752 | Acc: 1.55% | F1: 0.0005
Epoch 084 - Train Loss: 4.5801 | Acc: 2.02% | F1: 0.0008
Epoch 084 - Val   Loss: 4.5711 | Acc: 1.55% | F1: 0.0005
Epoch 085 - Train Loss: 4.5834 | Acc: 2.02% | F1: 0.0008
Epoch 085 - Val   Loss: 4.5679 | Acc: 1.55% | F1: 0.0005
Epoch 086 - Train Loss: 4.5807 | Acc: 2.02% | F1: 0.0008
Epoch 086 - Val   Loss: 4.5695 | Acc: 1.55% | F1: 0.0005
Epoch 087 - Train Loss: 4.5796 | Acc: 2.02% | F1: 0.0008
Epoch 087 - Val   Loss: 4.5686 | Acc: 1.55% | F1: 0.0005
Epoch 088 - Train Loss: 4.5840 | Acc: 2.02% | F1: 0.0008
Epoch 088 - Val   Loss: 4.5712 | Acc: 1.55% | F1: 0.0005
Epoch 089 - Train Loss: 4.5802 | Acc: 2.02% | F1: 0.0008
Epoch 089 - Val   Loss: 4.5712 | Acc: 1.55% | F1: 0.0005
Epoch 090 - Train Loss: 4.5830 | Acc: 2.02% | F1: 0.0008
Epoch 090 - Val   Loss: 4.5696 | Acc: 1.55% | F1: 0.0005
Epoch 091 - Train Loss: 4.5806 | Acc: 2.02% | F1: 0.0008
Epoch 091 - Val   Loss: 4.5693 | Acc: 1.55% | F1: 0.0005
Epoch 092 - Train Loss: 4.5825 | Acc: 2.02% | F1: 0.0008
Epoch 092 - Val   Loss: 4.5716 | Acc: 1.55% | F1: 0.0005
Epoch 093 - Train Loss: 4.5823 | Acc: 2.02% | F1: 0.0008
Epoch 093 - Val   Loss: 4.5711 | Acc: 1.55% | F1: 0.0005
Epoch 094 - Train Loss: 4.5794 | Acc: 2.02% | F1: 0.0008
Epoch 094 - Val   Loss: 4.5712 | Acc: 1.55% | F1: 0.0005
Epoch 095 - Train Loss: 4.5814 | Acc: 2.02% | F1: 0.0008
