Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 260/594] Loss: 4.5925 | Cls: 4.5918 | Loc: 4.5933
  [Batch 270/594] Loss: 4.5797 | Cls: 4.5785 | Loc: 4.5809
  [Batch 280/594] Loss: 4.5777 | Cls: 4.5762 | Loc: 4.5792
  [Batch 290/594] Loss: 4.6264 | Cls: 4.6250 | Loc: 4.6277
  [Batch 300/594] Loss: 4.6253 | Cls: 4.6242 | Loc: 4.6264
  [Batch 310/594] Loss: 4.5965 | Cls: 4.5944 | Loc: 4.5986
  [Batch 320/594] Loss: 4.5932 | Cls: 4.5918 | Loc: 4.5946
  [Batch 330/594] Loss: 4.6334 | Cls: 4.6323 | Loc: 4.6345
  [Batch 340/594] Loss: 4.6112 | Cls: 4.6104 | Loc: 4.6121
  [Batch 350/594] Loss: 4.6162 | Cls: 4.6154 | Loc: 4.6170
  [Batch 360/594] Loss: 4.6292 | Cls: 4.6284 | Loc: 4.6300
  [Batch 370/594] Loss: 4.5932 | Cls: 4.5920 | Loc: 4.5944
  [Batch 380/594] Loss: 4.6103 | Cls: 4.6087 | Loc: 4.6119
  [Batch 390/594] Loss: 4.5941 | Cls: 4.5925 | Loc: 4.5957
  [Batch 400/594] Loss: 4.6018 | Cls: 4.6004 | Loc: 4.6032
  [Batch 410/594] Loss: 4.5541 | Cls: 4.5523 | Loc: 4.5559
  [Batch 420/594] Loss: 4.5426 | Cls: 4.5405 | Loc: 4.5446
  [Batch 430/594] Loss: 4.6675 | Cls: 4.6653 | Loc: 4.6697
  [Batch 440/594] Loss: 4.5806 | Cls: 4.5785 | Loc: 4.5827
  [Batch 450/594] Loss: 4.7527 | Cls: 4.7504 | Loc: 4.7550
  [Batch 460/594] Loss: 4.6567 | Cls: 4.6549 | Loc: 4.6585
  [Batch 470/594] Loss: 4.6592 | Cls: 4.6571 | Loc: 4.6612
  [Batch 480/594] Loss: 4.6186 | Cls: 4.6171 | Loc: 4.6200
  [Batch 490/594] Loss: 4.6090 | Cls: 4.6011 | Loc: 4.6170
  [Batch 500/594] Loss: 4.5452 | Cls: 4.5330 | Loc: 4.5574
  [Batch 510/594] Loss: 4.6790 | Cls: 4.6747 | Loc: 4.6834
  [Batch 520/594] Loss: 4.6720 | Cls: 4.6609 | Loc: 4.6832
  [Batch 530/594] Loss: 4.4885 | Cls: 4.4830 | Loc: 4.4940
  [Batch 540/594] Loss: 4.4309 | Cls: 4.4279 | Loc: 4.4339
  [Batch 550/594] Loss: 4.6117 | Cls: 4.6065 | Loc: 4.6169
  [Batch 560/594] Loss: 4.6237 | Cls: 4.6184 | Loc: 4.6289
  [Batch 570/594] Loss: 4.6585 | Cls: 4.6565 | Loc: 4.6604
  [Batch 580/594] Loss: 4.5561 | Cls: 4.5537 | Loc: 4.5584
  [Batch 590/594] Loss: 4.5461 | Cls: 4.5448 | Loc: 4.5475
  [Batch 594/594] Loss: 4.7319 | Cls: 4.7291 | Loc: 4.7347
Epoch 2 Train - Loc Loss: 4.6099 | Cls Loss: 4.6060 | Tot Loss: 4.6080 | Acc: 1.91% | F1: 0.0016
