Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 470/594] Loss: 4.5456 | Cls: 4.5367 | Loc: 4.5545
  [Batch 480/594] Loss: 4.4227 | Cls: 4.4142 | Loc: 4.4312
  [Batch 490/594] Loss: 4.2693 | Cls: 4.2601 | Loc: 4.2785
  [Batch 500/594] Loss: 4.3434 | Cls: 4.3344 | Loc: 4.3524
  [Batch 510/594] Loss: 4.4560 | Cls: 4.4481 | Loc: 4.4638
  [Batch 520/594] Loss: 4.3760 | Cls: 4.3668 | Loc: 4.3853
  [Batch 530/594] Loss: 4.1095 | Cls: 4.1008 | Loc: 4.1181
  [Batch 540/594] Loss: 3.7261 | Cls: 3.7151 | Loc: 3.7371
  [Batch 550/594] Loss: 4.4046 | Cls: 4.3958 | Loc: 4.4135
  [Batch 560/594] Loss: 4.5098 | Cls: 4.5002 | Loc: 4.5194
  [Batch 570/594] Loss: 4.4397 | Cls: 4.4313 | Loc: 4.4481
  [Batch 580/594] Loss: 4.6083 | Cls: 4.6004 | Loc: 4.6161
  [Batch 590/594] Loss: 4.4260 | Cls: 4.4171 | Loc: 4.4348
Epoch 2 Train - Loc Loss: 4.4211 | Cls Loss: 4.4056 | Tot Loss: 4.4133 | Acc: 8.03% | F1: 0.0463
Epoch 2 Val - Loc Loss: 4.2914 | Cls Loss: 4.2770 | Tot Loss: 4.2842 | Acc: 9.69% | F1: 0.0515

Best model saved at epoch 2 with Acc: 9.69%, F1: 0.0515

  [Batch 10/594] Loss: 4.4588 | Cls: 4.4467 | Loc: 4.4709
  [Batch 20/594] Loss: 4.4133 | Cls: 4.4045 | Loc: 4.4221
  [Batch 30/594] Loss: 4.2541 | Cls: 4.2457 | Loc: 4.2626
  [Batch 40/594] Loss: 4.3226 | Cls: 4.3124 | Loc: 4.3329
  [Batch 50/594] Loss: 4.2842 | Cls: 4.2720 | Loc: 4.2964
  [Batch 60/594] Loss: 4.3300 | Cls: 4.3202 | Loc: 4.3398
  [Batch 70/594] Loss: 4.5369 | Cls: 4.5287 | Loc: 4.5450
  [Batch 80/594] Loss: 4.0971 | Cls: 4.0863 | Loc: 4.1079
